"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
3,257,CALCOSTSRC,Cost Source Code - Calculated ,"The identifier of the database vendor that supplied the indicated cost record (e.g., Medi-Span, First Data Bank, etc.).",,A,1,2123,2123,0,0,,,
1,258,PHRINGRCST,Ingredient Cost - Approved ,"The final cost of the prescription drug ingredients after all calculations have been applied to the claim. The amount is based on the submitted vs. the calculated amounts.  
",,S,9,2124,2132,9,2,,,
1,259,PHRDISPFEE,Dispensing Fee - Approved,The final fee for dispensing the prescription after all calculations have been applied to the claim. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2133,2141,9,2,,,
3,260,PHRPPSTAX,Pharmacy Percentage Sales Tax - Approved,The final dollar amount of the sales tax for the prescription after all calculations have been applied to the claim. This sales tax is calculated as a percentage. The approved amount is based on the submitted vs. the calculated amounts.,,S,9,2142,2150,9,2,,,
3,261,PHRFSTAX,Pharmacy Flat Sales Tax - Approved,The final dollar amount of the sales tax for the prescription after all calculations have been applied to the claim.  This sales tax is calculated as a flat dollar amount. The approved amount is based on the submitted vs. the calculated amounts.,,S,9,2151,2159,9,2,,,
1,262,PHRSLSTAX,Total Sales Tax - Approved,The final amount of sales tax for the prescription after all calculations have been applied to the claim. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2160,2168,9,2,,,
1,263,PHRPATPAY,Member Pay Amount - Approved ,"The final dollar amount of the member's payment responsibility for a prescription after all calculations have been applied to the claim. The approved amount is based on the submitted vs. the calculated amounts.

   PHRCOPAY (#274) 
+ PHRATRDED (#279) 
+ PHRPRODSEL (#275) 
+ PHREXCEBFT (#277)
__________________________
= Approved Member Pay Amount
                      
Note:  Medicare Part D does not use Exceeded Benefit Maximum.",,S,9,2169,2177,9,2,,,
1,264,PHRDUEAMT,Total Amount Due - Approved ,"The final dollar amount due to the pharmacy for the prescription paid by Prime. The approved amount is based on the submitted vs. the calculated amounts. 

   PHRINGRCST (#258)
+ PHRDISPFEE (#259) 
+ PHRTOTHAMT (#281) 
+ PHRFSTAX (#261) 
+ PHRPPSTAX (#260) 
- PHRPATPAY (#263) 
- PHROTHPAYA (#283) 
__________________________
= Approved Total Amount
",,S,9,2178,2186,9,2,,,
3,265,PHRWITHHLD,Withhold Amount - Approved,The final amount that is subtracted from the payment to the pharmacy for the prescription. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2187,2195,9,2,,,
4,266,PHRPPRCS,Pharmacy Price Schedule Used - Approved ,The code that identifies the price schedule used during claim processing to reimburse the pharmacy. ,Values are Prime-defined and used in Prime's claim processing system. ,A,10,2196,2205,0,0,,,
4,267,PHRPRCST,Pharmacy Price Schedule Table - Approved,The code that identifies the price schedule table used during claim processing to calculate the patient/member pay dollar amount.,Values are Prime-defined and used in Prime's claim processing system. ,A,10,2206,2215,0,0,,,
4,268,PHRPTPS,Pharmacy Member Pay Schedule - Approved ,"The code that identifies the patient/member pay schedule used during claim processing to calculate the copay and differential portion (e.g., deductibles and fees) of the amount that the member pays. ",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2216,2225,0,0,,,
4,269,PHRPTPST,Pharmacy Member Pay Schedule Table - Approved ,"The code that identifies the patient/member pay table used during claim processing to calculate the patient/member pay dollar amount.  

Note:  This field is sourced from the same field as PHRPTPST13 (Field #497).  This field is left justified and contains the first 10 characters of the Pharmacy Approved Patient Pay Schedule Table.  Field #497 - PHRPTPST13 contains all 13 characters of the Pharmacy Approved Patient Pay Schedule Table.",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2226,2235,0,0,,,
4,270,PHRCOPAYSC,Pharmacy Copay Schedule Used - Approved,The code that identifies the copay schedule used in the price calculations. ,Values are Prime-defined and used in Prime's claim processing system. ,A,10,2236,2245,0,0,,,
4,271,PHRCOPAYSS,Pharmacy Copay Schedule Step - Approved,The step number of the copay schedule used during claim processing. ,Values are Prime-defined and used in Prime's claim processing system. ,N,2,2246,2247,2,0,,,
2,272,PHRFCOPAY,Flat Copay Amount - Approved,The final flat dollar amount that was collected from the member at the time the prescription was filled. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2248,2256,9,2,,,
2,273,PHRPCOPAY,Coinsurance Amount - Approved,The final dollar amount calculated by Prime as a percentage of the claim that was collected from the member at the time the prescription was filled.  This is also known as coinsurance. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2257,2265,9,2,,,
3,274,PHRCOPAY,Total Copay Amount - Approved,"The final dollar amount that was collected from the member at the time the prescription was filled. The approved amount is based on the submitted vs. the calculated amounts. 

   PHRFCOPAY (#272) 
+ PHRPCOPAY (#273)
___________________________
= Approved Total Copay Amount",,S,9,2266,2274,9,2,,,
2,275,PHRPRODSEL,Product Selection Amount - Approved,"The dollar amount that was collected from the member because of the product type that the member selected.  The approved amount is based on the submitted vs. the calculated amounts. This amount is included in the Member Pay Amount field (PHRPATPAY #263). 

Typically, Product Selection Amount would represent the dollar cost difference between an original brand cost and the cost of the generic form of the same chemical substance.  

Example: Prozac costs $5.03 per pill, while fluoxetine costs $2.59 per pill.  In a plan with mandatory generic, the $3 difference in the costs of the two would show in the Product Selection field, and would be the patient's responsibility to pay.  

This is also known as Member Pays the Difference (MPTD), Mandatory Generic, Generic Mandate, Differential, Dispense As Written (DAW), Dispense As Written (DAW) Override, Penalty, PSC Penalty, Ancillary Charge, and Sanction. 




",,S,9,2275,2283,9,2,,,
3,276,PHRATRTAX,Member Sales Tax Amount - Approved,The final dollar amount of sales tax that was collected from the member. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2284,2292,9,2,,,
2,277,PHREXCEBFT,Amount that Exceeds Benefit Maximum - Approved,"The final dollar amount that exceeded the benefit plan's maximum allowable for specific services (e.g., infertility, smoking cessation).  This is also known as Over Cap Amount.

This amount is included in the calculation for field PHRPATPAY (#263). The approved amount is based on the submitted vs. the calculated amounts. ",,S,9,2293,2301,9,2,,,
1,278,PHRINCENTV,Incentive Fee Amount - Approved,"The final dollar amount of the incentive fee. This amount is in addition to the dispensing fee and is paid by the plan to the pharmacy when members use specific services (e.g., vaccine administration, smoking cessation). 

This amount is included in the calculation for field PHRDUEAMT (#264). The approved amount is based on the submitted vs. the calculated amounts. ",,S,9,2302,2310,9,2,,,
2,279,PHRATRDED,Deductible Amount - Approved,The final dollar amount of the member's deductible that was collected from the member at the time the prescription was filled. The approved amount is based on the submitted vs. the calculated amounts. ,,S,9,2311,2319,9,2,,,
2,280,PHRCOB,Total Coordination of Benefits Amount - Approved,"The final dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer.  

All COB-related fields display the same values, regardless of whether the fields are calculated or approved. 

Note:  A value displays only when the claim is being processed as secondary, otherwise it will default to 0.  ",,S,9,2320,2328,9,2,,,
5,281,PHRTOTHAMT,Total Other Amount - Approved,"Field is not currently used. 

Note:  This field always displays a zero and is not populated.  The dollar amount by the primary payer is listed in field OTHRPAYOR (#236). ",,S,9,2329,2337,9,2,,,
5,282,PHRPROFFEE,Professional Service Fee - Approved,"Field is not currently used. 

Note:  This dollar amount now  displays in the PHRINCENTV field (#278). ",Contains only zeroes. ,S,9,2338,2346,9,2,,,
5,283,PHROTHPAYA,Other Payer Amount Recognized - Approved,"The final dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer.  This is used for Coordination of Benefits.  

All COB-related fields display the same values, regardless of whether the fields are calculated or approved. 

Note:  This field displays a zero if the claim is submitted as a primary claim to Prime. ",,S,9,2347,2355,9,2,,,
4,284,PHRCOSTSRC,Cost Source Code - Approved,"The identifier of the database vendor that supplied the indicated cost record (e.g., Medi-Span, First Data Bank, etc.). 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Values include: 
F = First DataBank  
B = First DataBank Baseline  
D = First DataBank Daily  
M = Medi-Span  
P = Plan  
R = Redbook  
S = Submitted",A,1,2356,2356,0,0,,,
3,285,PHRCOSTTYP,Cost Type - Approved,"The code that indicates how the drug was priced per unit. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Possible values include: 
AAWP = Average of AWP
AWP = Average Wholesale Price
DIRECT = Direct Price
MAC01, MAC02, MAC04, MAC05 = Maximum Allowable Cost ",A,10,2357,2366,0,0,,,
1,286,PHRPRCTYPE,Price Type - Approved,"The code that indicates the final pharmacy price type (cost + fee + tax) used to process and apply pharmacy overall pricing to the transaction.  This price type was reported to the pharmacy.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Examples:
MAC01 = Maximum Allowable Cost  
AWP = Average Wholesale Price 
SUBMITTED = Submitted Drug Cost  
U = Usual and Customary  
$ = Dollar amount indicated by the price comparison code ",A,10,2367,2376,0,0,,,
5,287,POSINGRCST,Ingredient Cost - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2377,2385,9,2,,,
5,288,POSDISPFEE,Dispensing Fee - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2386,2394,9,2,,,
5,289,POSPSLSTAX,Percentage Sales Tax - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2395,2403,9,2,,,
5,290,POSFSLSTAX,Flat Sales Tax - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2404,2412,9,2,,,
5,291,POSSLSTAX,Total Sales Tax - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2413,2421,9,2,,,
5,292,POSPATPAY,Member Pay Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2422,2430,9,2,,,
5,293,POSDUEAMT,Total Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2431,2439,9,2,,,
5,294,POSWITHHLD,Withhold Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2440,2448,9,2,,,
5,295,POSCOPAY,Copay Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2449,2457,9,2,,,
5,296,POSPRODSEL,Product Selection Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2458,2466,9,2,,,
5,297,POSATRTAX,Member  Sales Tax Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2467,2475,9,2,,,
5,298,POSEXCEBFT,Amount that Exceeds Benefit Maximum - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2476,2484,9,2,,,
5,299,POSINCENTV,Incentive Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2485,2493,9,2,,,
5,300,POSATRDED,Deductible Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2494,2502,9,2,,,
5,301,POSTOTHAMT,Total Other Amount - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2503,2511,9,2,,,
5,302,POSPROFFEE,Professional Service Fee Paid - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2512,2520,9,2,,,
5,303,POSOTHPAYA,Other Payer Amount Recognized - Post Claim Processing,Field is not currently used. ,Contains only zeroes. ,S,9,2521,2529,9,2,,,
5,304,POSCOSTSRC,Cost Source - Post Claim Processing,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,2530,2530,0,0,,,
3,305,CLIENTFLAG,Pricing Code - Client,"The code that indicates the type of pricing used in the client pricing of the claim.  The value in this field is identical to the CLTCOSTSRC field (#332). 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up.","*BLANK
F = First DataBank
B = First DataBank Baseline
D = First DataBank Daily
M = Medi-Span
P = Plan
R = Redbook
S = Submitted",A,1,2531,2531,0,0,,,
3,306,CLTINGRCST,Ingredient Cost - Client,"The final cost of the ingredients that was included in the total amount paid, after all calculations have been applied based on the client pricing of the claim. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRINGRCST field (#258).  Client fields are used for Traditional (Spread) pricing.",,S,9,2532,2540,9,2,,,
3,307,CLTDISPFEE,Dispensing Fee - Client,"The final fee for dispensing the prescription after all calculations have been applied based on the client pricing of the claim.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRDISPFEE field (#259).  Client fields are used for Traditional (Spread) pricing.",,S,9,2541,2549,9,2,,,
3,308,CLTSLSTAX,Total Sales Tax - Client,"This is the final amount of sales tax for the prescription after all calculations have been applied based on the client pricing of the claim.  This field displays the tax amount the client pays. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRSLSTAX field (#262).  Client fields are used for Traditional (Spread) pricing.
  ",,S,9,2550,2558,9,2,,,
3,309,CLTPATPAY,Member Pay Amount - Client ,"The final dollar amount of the member's payment responsibility for the prescription after all calculations have been applied based on the client pricing of the claim.    

   CLTCOPAY (#320) 
+ CLTATRDED (#327) 
+ CLTPRODSEL (#321) 
+ CLTEXCEBFT (#325)
__________________________
= Client Member Pay Amount

Notes:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPATPAY field (#263). Client fields are used for Traditional (Spread) pricing.
                     
Medicare Part D does not use Exceeded Benefit Maximum.",,S,9,2559,2567,9,2,,,
3,310,CLTDUEAMT,Total Amount - Client,"The final dollar amount that the client pays Prime  
for the prescription after all calculations have been applied based on the client pricing of the claim.    

   CLTINGRCST (#306)
+ CLTDISPFEE (#307) 
+ CLTTOTHAMT (#328) 
+ CLTPSTAX (#322) 
+ CLTFSTAX (#323) 
- CLTPATPAY (#309) 
- CLTOTHPAYA (#331) 
__________________________
= Client Total Amount

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRDUEAMT field (#264).  Client fields are used for Traditional (Spread) pricing.",,S,9,2568,2576,9,2,,,
3,311,CLTWITHHLD,Withhold Amount - Client,"The final amount that is subtracted from the payment to the pharmacy for the prescription after all calculations have been applied based on the client pricing of the claim.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRWITHHLD field (#265).  Client fields are used for Traditional (Spread) pricing.",,S,9,2577,2585,9,2,,,
4,312,CLTPRCS,Price Schedule Used - Client,"The code that identifies the final price schedule used during the client pricing of the claim. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPPRCS field (#266).  Client fields are used for Traditional (Spread) pricing.",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2586,2595,0,0,,,
4,313,CLTPRCST,Price Schedule Table Used - Client,"The code that identifies the price schedule table used during the client pricing of the claim to calculate the patient/member pay dollar amount.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPRCST field (#267).  Client fields are used for Traditional (Spread) pricing.",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2596,2605,0,0,,,
4,314,CLTPTPS,Member Pay Schedule Used - Client,"The code that identifies the final member pay schedule used during the client pricing of the claim to calculate the copay and differential portion (e.g., deductibles and fees) of the amount that the member pays. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPTPS field (#268).  Client fields are used for Traditional (Spread) pricing.
",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2606,2615,0,0,,,
4,315,CLTPTPST,Member Pay Schedule Table Used - Client,"The code that identifies the final member pay table used during the rebilling of the claim to calculate the patient/member pay dollar amount.  

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPTPST field (#269).  Rebilled fields are used for Traditional (Spread) pricing.",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2616,2625,0,0,,,
4,316,CLTCOPAYS,Copay Schedule Used - Client,"The code that identifies the final copay schedule used in the client pricing of the claim. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRCOPAYSC field (#270).  Client fields are used for Traditional (Spread) pricing.",Values are Prime-defined and used in Prime's claim processing system. ,A,10,2626,2635,0,0,,,
4,317,CLTCOPAYSS,Copay Schedule Step Used - Client,"The step number of the final copay schedule used in the client pricing of the claim.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRCOPAYSS field (#271).  Client fields are used for Traditional (Spread) pricing.",Values are Prime-defined and used in Prime's claim processing system. ,N,2,2636,2637,2,0,,,
4,318,CLTFCOPAY,Flat Copay Amount - Client,"The final flat dollar amount that was collected from the member at the time the prescription was filled.  This amount is determined after all calculations have been applied based on the client pricing for the claim.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRFCOPAY field (#272).  Client fields are used for Traditional (Spread) pricing.",,S,9,2638,2646,9,2,,,
4,319,CLTPCOPAY,Coinsurance Amount - Client,"The final dollar amount calculated as a percentage of the claim that was collected from the member at the time the prescription was filled.  This amount is determined after all calculations have been applied based on the client pricing for the claim.  It is also known as coinsurance.

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPCOPAY field (#273). Client fields are used for Traditional (Spread) pricing.",,S,9,2647,2655,9,2,,,
4,320,CLTCOPAY,Total Copay Amount - Client,"The final dollar amount that was collected from the member at the time the prescription was filled.  This amount is determined after all calculations have been applied based on the client pricing for the claim.   

   CLTFCOPAY (#318) 
+ CLTPCOPAY (#319)
___________________________
= Client Total Copay Amount

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRCOPAY field (#274). Client fields are used for Traditional (Spread) pricing.",,S,9,2656,2664,9,2,,,
4,321,CLTPRODSEL,Product Selection Amount - Client,"The dollar amount that was collected from the member because of the product type that the member selected. This amount is determined after all calculations have been applied based on the client pricing for the claim.  It also is included in the Member Pay Amount field (CLTPATPAY #309). 

Typically, Product Selection Amount would represent the dollar cost difference between an original brand cost and the cost of the generic form of the same chemical substance.  

Example: Prozac costs $5.03 per pill, while fluoxetine costs $2.59 per pill.  In a plan with mandatory generic, the $3 difference in the costs of the two would show in the Product Selection field, and would be the patient's responsibility to pay.  

This is also known as Member Pays the Difference (MPTD), Mandatory Generic, Generic Mandate, Differential, Dispense As Written (DAW), Dispense As Written (DAW) Override, Penalty, PSC Penalty, Ancillary Charge, and Sanction. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPRODSEL field (#275).  Client fields are used for Traditional (Spread) pricing.",,S,9,2665,2673,9,2,,,
4,322,CLTPSTAX,Percentage Sales Tax - Client,"The final dollar amount of the sales tax for the prescription after all calculations have been applied based on the client pricing of the claim.  This sales tax is calculated as a percentage. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPPSTAX field (#260).  Client fields are used for Traditional (Spread) pricing.",,S,9,2674,2682,9,2,,,
4,323,CLTFSTAX,Flat Sales Tax - Client,"The final dollar amount of the sales tax for the prescription after all calculations have been applied based on the client pricing of the claim. This sales tax is calculated as a flat dollar amount. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRFSTAX field (#261).  Client fields are used for Traditional (Spread) pricing.",,S,9,2683,2691,9,2,,,
3,324,CLTATRTAX,Total Sales Tax (Member Pay) - Client,"This is the final dollar amount of the sales tax that was collected from the member after all calculations have been applied based on the client pricing of the claim. This field displays a value if the client has the benefit set up for the member to pay the sales tax.  

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRATRTAX field (#276).  Client fields are used for Traditional (Spread) pricing.",,S,9,2692,2700,9,2,,,
3,325,CLTEXCEBFT,Amount that Exceeds Benefit Maximum - Client,"The final dollar amount that exceeded the benefit plan's maximum allowable for specific services (e.g., infertility, smoking cessation) after all calculations have been applied based on the client pricing for the claim.   

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHREXCEBFT field (#277).  Client fields are used for Traditional (Spread) pricing.",,S,9,2701,2709,9,2,,,
3,326,CLTINCENTV,Incentive Fee Amount - Client,"The final dollar amount of the incentive fee after all calculations have been applied based on the client pricing of the claim.  This amount is in addition to the dispensing fee and is paid by the plan to the pharmacy when members use specific services (e.g., vaccine administration, smoking cessation). 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRINCENTV field (#278).  Client fields are used for Traditional (Spread) pricing.",,S,9,2710,2718,9,2,,,
3,327,CLTATRDED,Deductible Amount - Client,"The final dollar amount of the member's deductible that was collected from the member at the time the prescription was filled after all calculations have been applied based on the client pricing for the claim. 

Note:  Under Standard (Pass-through) pricing, this amount is identical to the PHRATRDED field (#279).  Client fields are used for Traditional (Spread) pricing.",,S,9,2719,2727,9,2,,,
3,328,CLTTOTHAMT,Total Other Amount - Client,"Field is not currently used. 

Note:  This field always displays a zero and is not populated.  The dollar amount by the primary payer is listed in field OTHRPAYOR (#236). ",,S,9,2728,2736,9,2,,,
4,329,CLTPROFFEE,Professional Service Fee - Client,"Field is not currently used. 

Note:  This field is no longer used.  This dollar amount now  displays in the CLTINCENTV field (#326). ",Contains only zeroes.,S,9,2737,2745,9,2,,,
4,330,CLTCOB,Coordination of Benefits Total Amount - Client,"The final dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer. 

All COB-related fields display the same values, regardless of whether the fields are calculated, approved or client. 

Note:  A value displays only when the claim is being processed as secondary, otherwise it will default to 0.  
",,S,9,2746,2754,9,2,,,
4,331,CLTOTHPAYA,Other Payer Amount Recognized - Client,"The final dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer.  This is used for Coordination of Benefits.  

All COB-related fields display the same values, regardless of whether the fields are calculated, approved or client. 

Note:  This field displays a zero if the claim is submitted as a primary claim to Prime. 
",,S,9,2755,2763,9,2,,,
4,332,CLTCOSTSRC,Cost Source Code - Client ,"The code that indicates the type of pricing used in the client pricing of the claim.  The value in this field is identical to the CLIENTFLAG field (#305). 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up.

","*BLANK
F = First DataBank
B = First DataBank Baseline
D = First DataBank Daily
M = Medi-Span
P = Plan
R = Redbook
S = Submitted",A,1,2764,2764,0,0,,,
3,333,CLTCOSTTYP,Cost Type - Client ,"The code that indicates how the drug was priced per unit as part of the client pricing of the claim. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. 
",See the Cost Type Codes tab.,A,10,2765,2774,0,0,,,
4,334,CLTPRCTYPE,Price Type - Client,"The code that indicates the final client price type (cost + fee + tax) after all calculations have been applied based on the client pricing of the claim. 

Notes:  Under Standard (Pass-through) pricing, this amount is identical to the PHRPRCTYPE field (#286).  Client fields are used for Traditional (Spread) pricing.

When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Examples:
MAC01 = Maximum Allowable Cost 
AWP = Average Wholesale Price 
SUBMITTED = Submitted Drug Cost  
U = Usual and Customary  
$ = Dollar amount indicated by the price 
comparison code ",A,10,2775,2784,0,0,,,
4,335,RSPREIMBUR,Basis of Reimbursement Determination - Response,"The code that indicates how the reimbursement amount was calculated and was reported back to the pharmacy (response).  

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. 
","00 = Not specified
01 = Ingredient cost paid as submitted
02 = Ingredient cost reduced to AWP pricing
03 = Ingredient cost reduced to AWP less x% pricing
04 = Usual and customary paid as submitted
05 = Paid lower of ingredient cost plus fees versus usual and customary
06 = MAC pricing - ingredient cost paid
07 = MAC Pricing ingredient cost reduced to MAC pricing
08 = Contract pricing
25 = Nominal Price          
26 = Federal Supply Schedule",A,2,2785,2786,0,0,522-FM,Basis Of Reimbursement Determination,Code identifying how the reimbursement amount was calculated for ‘Ingredient Cost Paid’ (5Ø6-F6).
4,336,RSPINGRCST,Ingredient Cost - Response,The final cost of the prescription drug ingredients that was included in the total amount paid and was reported back to the pharmacy (response).  ,,S,9,2787,2795,9,2,506-F6,Ingredient Cost Paid,Drug ingredient cost paid included in the ‘Total Amount Paid’ (5Ø9-F9).
4,337,RSPDISPFEE,Dispensing Fee - Response,The final fee for dispensing the prescription that was reported back to the pharmacy (response). ,,S,9,2796,2804,9,2,507-F7,Dispensing Fee Paid,Dispensing fee paid included in the ‘Total Amount Paid’ (5Ø9-F9).
4,338,RSPPSLSTAX,Percentage Sales Tax - Response,The final dollar amount of the sales tax for the prescription that was reported back to the pharmacy (response). This sales tax is calculated as a percentage. ,,S,9,2805,2813,9,2,559-AX,Percentage Sales Tax Amount Paid,Amount of percentage sales tax paid which is included in the ‘Total Amount Paid’ (5Ø9-F9).
4,339,RSPFSLSTAX,Flat Sales Tax - Response,The final flat dollar amount of the sales tax for the prescription that was reported back to the pharmacy (response). ,,S,9,2814,2822,9,2,558-AW,Flat Sales Tax Amount Paid,Flat sales tax paid which is included in the ‘Total Amount Paid’ (5Ø9-F9).
4,340,RSPSLSTAX,Total Sales Tax - Response,The final dollar amount of sales tax that was reported back to the pharmacy (response). ,,S,9,2823,2831,9,2,523-FN,Amount Attributed To Sales Tax,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to sales tax paid.
4,341,RSPPATPAY,Member Pay Amount - Response,"The final dollar amount of the member's payment responsibility for the prescription that was reported back to the pharmacy (response).   

   RSPCOPAY (#345) 
+ RSPATRDED (#350) 
+ RSPPRODSEL (#346) 
+ RSPEXCEBFT (#348)
+ CLTCOVGAP (#18 on Supplemental File)
__________________________
= Member Pay Amount Response

Prime's recommendation is that clients take in the actual value transmitted in this field rather than recalculate the field as the calculation requires fields from multiple files.",,S,9,2832,2840,9,2,505-F5,Patient Pay Amount,"Amount that is calculated by the processor and returned to the pharmacy as the TOTAL amount to be paid by the patient to the pharmacy; the patient’s total cost share, including copayments, amounts applied to deductible, over maximum amounts, penalties, etc."
4,342,RSPDUEAMT,Total Amount Paid - Response,"The final dollar amount due to the pharmacy for the prescription paid by Prime that was reported back to the pharmacy (response). 

   RSPINGRCST (#336)
+ RSPDISPFEE (#337) 
+ RSPTOTHAMT (#351) 
+ RSPFSLSTAX (#339) 
+ RSPPSLSTAX(#338) 
- RSPPATPAY (#341) 
- RSPOTHPAYA (#353) 
__________________________
= Total Amount Paid Response",,S,9,2841,2849,9,2,,,
4,343,RSPFCOPAY,Flat Copay Amount - Response,The final flat dollar amount that was collected from the member at the time the prescription was filled and was reported back to the pharmacy (response).  ,,S,9,2850,2858,9,2,518-FI  ,Amount Of Copay,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to a per prescription copay.
4,344,RSPPCOPAY,Coinsurance Amount - Response,The final dollar amount calculated as a percentage of the claim to be collected from the member at the time the prescription was filled.  This amount was reported back to the pharmacy (response) and is also known as coinsurance.,,S,9,2859,2867,9,2,572-4U,Amount of Coinsurance,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5?5-F5) that is due to a per prescription coinsurance.
4,345,RSPCOPAY,Total Copay Amount - Response,"The final dollar amount that was collected from the member at the time the prescription was filled and was reported back to the pharmacy (response). 

   RSPFCOPAY(#343) 
+ RSPPCOPAY (#344)
___________________________
= Total Copay Amount Response",,S,9,2868,2876,9,2,518-FI,Amount Of Copay,Amount to be collected from the patient that is included in ‘Patient Pay Amount’ (5Ø5-F5) that is due to a per prescription copay.
